Accident_Index,Latitude,Longitude,Year,Month,Day,Hour,Speed_limit,Car_involved_in_accident,Motorcycle_involved_in_accident,Truck_involved_in_accident,Other_vehicle_involved_in_accident
200504DF05066,53.777069,-2.6514130000000002,2005,7,10,21,30,1,1,0,0
200504E004205,53.622446,-2.462761,2005,1,20,21,50,1,0,0,0
200504E007605,53.731905000000005,-2.419548,2005,2,3,15,40,1,0,0,1
200504E014805,53.862207,-2.3732580000000003,2005,3,1,14,60,1,0,0,0
200504E018105,53.786301,-2.387762,2005,3,15,2,30,1,0,0,0
200504E020605,53.761821999999995,-2.423335,2005,3,18,9,70,1,0,0,0
200504E021605,53.806192,-2.379138,2005,3,26,23,60,1,0,0,0
200504E023005,53.805055,-2.3692580000000003,2005,4,2,19,60,0,1,0,0
200504E025005,53.753665000000005,-2.36183,2005,4,9,22,30,1,0,0,0
200504E025905,53.755364,-2.364575,2005,4,4,13,30,0,0,0,1
200504E026405,53.92370699999999,-2.263405,2005,4,17,7,60,1,1,0,0
200504EA05085,53.728722999999995,-2.499244,2005,7,18,20,30,1,0,0,0
200504EB05034,53.657422,-2.5046049999999997,2005,8,13,15,50,1,0,0,0
200504EB05066,53.692553000000004,-2.4636810000000002,2005,11,4,19,30,1,0,0,0
200504EN05060,53.805909,-2.4600720000000003,2005,8,19,15,60,1,1,0,0
200504EN05085,53.87627,-2.3596939999999997,2005,9,4,15,60,1,1,0,0
200504F003605,53.711703,-2.2034439999999997,2005,1,14,20,30,1,0,0,0
200504F010705,53.749214,-2.184973,2005,2,13,0,40,1,0,0,0
200504F017105,53.840607999999996,-2.194798,2005,3,7,3,30,1,0,0,0
200504F024105,53.799020999999996,-2.309689,2005,3,27,19,30,1,0,0,0
200504F026305,53.724104000000004,-2.32687,2005,4,6,7,70,1,0,0,0
200504F031205,53.749531999999995,-2.361036,2005,4,26,0,30,1,0,0,0
200504FA05025,53.790565,-2.2334259999999997,2005,7,3,17,30,0,0,0,1
200504FA05070,53.794528,-2.229349,2005,9,9,11,30,1,0,0,0
200504FA05116,53.789635,-2.249055,2005,11,29,12,30,1,0,0,1
200504FA05133,53.78390400000001,-2.2388529999999998,2005,12,15,8,30,1,0,0,0
200504FJ05046,53.702899,-2.2012810000000003,2005,11,25,10,30,1,0,0,0
200504FL05031,53.64927900000001,-2.2718279999999997,2005,7,14,14,60,1,0,1,0
200504FL05067,53.77794300000001,-2.3269849999999996,2005,9,10,16,70,1,0,0,0
200504FL05077,53.696661,-2.265469,2005,9,23,11,30,1,0,1,0
200504TA05015,54.02103100000001,-2.783128,2005,8,21,2,70,0,0,1,0
200504TA05078,53.697466000000006,-2.677598,2005,10,29,14,70,1,0,0,0
200504TA05083,53.534369999999996,-2.759484,2005,11,9,14,70,0,1,1,0
200505AA03092,53.354166000000006,-3.111907,2005,11,24,19,30,1,0,0,0
200505AA03137,53.439797999999996,-3.0462439999999997,2005,11,1,18,30,1,0,0,1
200505AA03311,53.349408999999994,-3.061757,2005,12,4,17,60,1,0,0,0
200505AA03924,53.401574,-3.058693,2005,12,8,23,30,0,1,0,0
200505AW00218,53.355593000000006,-3.1416939999999998,2005,2,11,23,50,1,0,0,0
200505AW00269,53.374388,-3.07305,2005,2,25,19,70,1,0,0,0
200505AW00273,53.318805000000005,-3.025268,2005,2,27,14,60,0,1,0,0
200505AW00445,53.422617,-3.0677939999999997,2005,3,24,8,30,1,0,0,1
200505AW00568,53.41138,-3.026891,2005,1,27,2,30,1,0,0,0
200505AW00698,53.372535,-3.007168,2005,5,13,15,30,1,0,0,0
200505AW00739,53.339093999999996,-3.017944,2005,5,22,15,30,1,0,0,1
200505AW00766,53.385591000000005,-3.0867139999999997,2005,5,20,22,40,1,0,0,1
200505AW00935,53.370925,-3.048013,2005,6,20,7,30,1,1,0,0
200505AW01230,53.414115,-3.022443,2005,7,17,22,30,1,0,0,0
200505AW01373,53.344809999999995,-3.083423,2005,8,25,22,40,1,0,0,0
200505AW01375,53.403913,-3.078607,2005,8,26,9,30,1,0,0,1
200505BB02065,53.600903,-3.033296,2005,10,20,15,30,1,0,0,0
200505BB02448,53.509827,-2.9023,2005,11,3,3,30,1,0,0,0
200505BB04560,53.544229,-3.048667,2005,11,6,5,70,1,0,0,0
200505BS00582,53.480399,-2.953061,2005,3,18,0,40,1,0,0,0
200505BS00802,53.595325,-3.054465,2005,6,7,20,20,1,0,0,0
200505BS00898,53.636557999999994,-3.026453,2005,6,21,21,30,1,0,0,0
200505BS01033,53.641023,-3.008713,2005,7,19,1,30,1,0,0,0
